正常蓄水位_m,年份,重复容量_万kW,装机容量_万kW,月份,运行方式,月初库容_m3s月,月初水位_m,月末库容_m3s月,月末水位_m,来水量_m3s,发电流量_m3s,平均出力_kW,弃水折算库容_m3s月,月发电量_kWh
108.0,1963,15.0,106.4353,4月,优化区-枚举月末库容,1114.3144,107.2547,760.1904,100.9941,2097.7,2451.824,1063200.6774,0.0,776136494.4686
108.0,1963,15.0,106.4353,5月,汛限线附近-满发,760.1904,100.9941,1004.7046,105.3169,4071.7,2435.8781,1037004.2664,1388.9686,757013114.5024
108.0,1963,15.0,106.4353,6月,汛限线附近-满发,1004.7046,105.3169,321.7512,87.6,790.7,1473.6534,586295.2354,0.0,427995521.819
108.0,1963,15.0,106.4353,7月,低于防破坏线-保证出力,321.7512,87.6,1004.7046,105.3169,2931.0,652.3648,266742.3935,1593.3427,194721947.2877
108.0,1963,15.0,106.4353,8月,低于防破坏线-保证出力,1004.7046,105.3169,1004.7046,105.3169,1608.0,580.4749,270220.5137,1025.1859,197260974.9768
108.0,1963,15.0,106.4353,9月,优化区-枚举月末库容,1004.7046,105.3169,321.7512,87.6,316.3,999.2534,403191.4923,0.0,294329789.3668
108.0,1963,15.0,106.4353,10月,低于防破坏线-保证出力,321.7512,87.6,633.7176,97.903,1083.5,769.0339,276737.775,0.0,202018575.75
108.0,1963,15.0,106.4353,11月,低于防破坏线-保证出力,633.7176,97.903,1156.472,108.0,1576.3,617.3852,276737.775,436.1604,202018575.75
108.0,1963,15.0,106.4353,12月,优化区-枚举月末库容,1156.472,108.0,1156.472,108.0,1563.3,1563.3,742942.978,0.0,542348373.9177
108.0,1963,15.0,106.4353,1月,优化区-枚举月末库容,1156.472,108.0,1156.472,108.0,710.0,710.0,345020.95,0.0,251865293.5
108.0,1963,15.0,106.4353,2月,优化区-枚举月末库容,1156.472,108.0,777.0535,101.2922,1212.0,1591.4185,710473.9608,0.0,518645991.3646
108.0,1963,15.0,106.4353,3月,优化区-枚举月末库容,777.0535,101.2922,1013.1361,105.466,2725.0,2488.9173,1062683.3026,0.0,775758810.9084
108.0,1964,15.0,106.4353,4月,优化区-枚举月末库容,1013.1361,105.466,1004.7046,105.3169,5893.3,5901.7315,1064353.0,0.0,776977690.0
